Category,Year,Award,Title,Mappers,Link
10 Years of Doom,1994,,Crossing Acheron,John Anderson (Dr. Sleep) ,https://www.doomworld.com/idgames/?id=2558
10 Years of Doom,1994,,Aliens TC,Justin Fisher,https://www.doomworld.com/idgames/themes/aliens/alientc1
10 Years of Doom,1994,,Doomsday of UAC,Leo Martin Lim,https://www.doomworld.com/idgames/?id=420
10 Years of Doom,1994,,Galaxia,Pavel Hodek,https://www.doomworld.com/idgames/?id=627
10 Years of Doom,1994,,Serenity,Bjorn Hermans and Holger Nathrath,https://www.doomworld.com/idgames/?id=1033
10 Years of Doom,1994,,Eternity (Serenity 2),Bjorn Hermans and Holger Nathrath,https://www.doomworld.com/idgames/?id=1046
10 Years of Doom,1994,,Trinity College,"Steve McCrea, Simon Wall, & Elias Papavassilopoulos",https://www.doomworld.com/idgames/?id=791
10 Years of Doom,1994,,Return to Phobos,Michael Kelsey,https://www.doomworld.com/idgames/?id=690
10 Years of Doom,1994,,Slaughter Until Death,The Innocent Crew,https://www.doomworld.com/idgames/?id=461
10 Years of Doom,1994,,The Evil Unleashed,The Innocent Crew,https://www.doomworld.com/idgames/?id=941
10 Years of Doom,1995,,Fava Beans,Sean Birkel,https://www.doomworld.com/idgames/?id=3163
10 Years of Doom,1995,,Infinity (Serenity 3),Bjorn Hermans and Holger Nathrath,https://www.doomworld.com/idgames/?id=2016
10 Years of Doom,1995,,Boothill,Various,https://www.doomworld.com/idgames/?id=2276
10 Years of Doom,1995,,Fistful of Doom,Various,https://www.doomworld.com/idgames/?id=7654
10 Years of Doom,1995,,H2H-Xmas,Various,https://www.doomworld.com/idgames/?id=4904
10 Years of Doom,1995,,The Final Gathering (Gather2),Daniel Norman (Stormin),https://www.doomworld.com/idgames/?id=13480
10 Years of Doom,1995,,Artifact,Paul Schmitz,https://www.doomworld.com/idgames/?id=6380
10 Years of Doom,1995,,Nostromo's Run,Rich Johnston (Nostromo),https://www.doomworld.com/idgames/?id=11997
10 Years of Doom,1995,,Obituary,The Innocent Crew,https://www.doomworld.com/idgames/?id=2021
10 Years of Doom,1995,,The Enigma Episode,Jim Flynn,https://www.doomworld.com/idgames/?id=12220
10 Years of Doom,1995,,Dwango5,Various,
10 Years of Doom,1996,,Memento Mori,Various,https://www.doomworld.com/idgames/?id=4855
10 Years of Doom,1996,,Memento Mori 2,Various,https://www.doomworld.com/idgames/?id=6562
10 Years of Doom,1996,,Dystopia 3,Anthony Czerwonka (Adelusion) and Iikka Keränen,https://www.doomworld.com/idgames/?id=5999
10 Years of Doom,1996,,All Hell is Breaking Loose,Joel Huenink,https://www.doomworld.com/idgames/?id=6480
10 Years of Doom,1996,,AOD-DOOM,Various,https://www.doomworld.com/idgames/?id=12283
10 Years of Doom,1996,,Icarus: Alien Vanguard,TeamTNT,https://www.doomworld.com/idgames/?id=5191
10 Years of Doom,1996,,Polygon Base,Rick Lipsey,https://www.doomworld.com/idgames/?id=4529
10 Years of Doom,1996,,99 Ways to Die,Warren Marshall,https://www.doomworld.com/idgames/?id=5508
10 Years of Doom,1996,,The Troopers' Playground,Matthias Worch,https://www.doomworld.com/idgames/?id=5302
10 Years of Doom,1996,,Hidden Mountain Factory,Grzegorz Werner,https://www.doomworld.com/idgames/?id=5563
10 Years of Doom,1997,,Requiem,Various,https://www.doomworld.com/idgames/?id=8194
10 Years of Doom,1997,,Eternal Doom,TeamTNT,https://www.doomworld.com/idgames/?id=8688
10 Years of Doom,1997,,GothicDM,Various,https://www.doomworld.com/idgames/?id=8221
